Epoch 1/100 | Train Loss: 0.6578 | Val Loss: 0.2023 | LR: 0.000200 | Time: 132.3s
Epoch 2/100 | Train Loss: 0.3977 | Val Loss: 0.1530 | LR: 0.000300 | Time: 120.2s
Epoch 3/100 | Train Loss: 0.3320 | Val Loss: 0.1578 | LR: 0.000400 | Time: 123.6s
Epoch 4/100 | Train Loss: 0.2751 | Val Loss: 0.1486 | LR: 0.000500 | Time: 110.9s
Epoch 5/100 | Train Loss: 0.2257 | Val Loss: 0.1443 | LR: 0.000600 | Time: 113.6s
Epoch 6/100 | Train Loss: 0.1907 | Val Loss: 0.1474 | LR: 0.000700 | Time: 117.6s
Epoch 7/100 | Train Loss: 0.1659 | Val Loss: 0.1464 | LR: 0.000800 | Time: 119.2s
Epoch 8/100 | Train Loss: 0.1493 | Val Loss: 0.1464 | LR: 0.000900 | Time: 114.9s
Epoch 9/100 | Train Loss: 0.1354 | Val Loss: 0.1477 | LR: 0.001000 | Time: 112.6s
Epoch 10/100 | Train Loss: 0.1262 | Val Loss: 0.1554 | LR: 0.001000 | Time: 113.5s
Epoch 11/100 | Train Loss: 0.1151 | Val Loss: 0.1455 | LR: 0.001000 | Time: 115.3s
Epoch 12/100 | Train Loss: 0.1070 | Val Loss: 0.1417 | LR: 0.000999 | Time: 112.3s
Epoch 13/100 | Train Loss: 0.0999 | Val Loss: 0.1393 | LR: 0.000997 | Time: 113.1s
Epoch 14/100 | Train Loss: 0.0951 | Val Loss: 0.1361 | LR: 0.000995 | Time: 108.4s
Epoch 15/100 | Train Loss: 0.0901 | Val Loss: 0.1393 | LR: 0.000992 | Time: 107.9s
Epoch 16/100 | Train Loss: 0.0876 | Val Loss: 0.1317 | LR: 0.000989 | Time: 108.8s
Epoch 17/100 | Train Loss: 0.0841 | Val Loss: 0.1309 | LR: 0.000985 | Time: 108.2s
Epoch 18/100 | Train Loss: 0.0814 | Val Loss: 0.1271 | LR: 0.000981 | Time: 108.9s
