Epoch 1/100 | Train Loss: 0.5565 | Val Loss: 0.2871 | LR: 0.000200 | Time: 140.5s
Epoch 2/100 | Train Loss: 0.2398 | Val Loss: 0.1912 | LR: 0.000300 | Time: 110.8s
Epoch 3/100 | Train Loss: 0.1891 | Val Loss: 0.1638 | LR: 0.000400 | Time: 107.4s
Epoch 4/100 | Train Loss: 0.1682 | Val Loss: 0.1595 | LR: 0.000500 | Time: 102.2s
Epoch 5/100 | Train Loss: 0.1575 | Val Loss: 0.1642 | LR: 0.000600 | Time: 101.5s
Epoch 6/100 | Train Loss: 0.1513 | Val Loss: 0.1809 | LR: 0.000700 | Time: 92.5s
Epoch 7/100 | Train Loss: 0.1463 | Val Loss: 0.1749 | LR: 0.000800 | Time: 91.9s
Epoch 8/100 | Train Loss: 0.1431 | Val Loss: 0.1828 | LR: 0.000900 | Time: 91.2s
Epoch 9/100 | Train Loss: 0.1428 | Val Loss: 0.1898 | LR: 0.001000 | Time: 92.4s
Epoch 10/100 | Train Loss: 0.1428 | Val Loss: 0.1954 | LR: 0.001000 | Time: 92.1s
Epoch 11/100 | Train Loss: 0.1436 | Val Loss: 0.1993 | LR: 0.001000 | Time: 92.2s
Epoch 12/100 | Train Loss: 0.1464 | Val Loss: 0.2043 | LR: 0.000999 | Time: 92.5s
Epoch 13/100 | Train Loss: 0.1479 | Val Loss: 0.2055 | LR: 0.000997 | Time: 97.5s
Epoch 14/100 | Train Loss: 0.1506 | Val Loss: 0.2077 | LR: 0.000995 | Time: 96.8s
Epoch 15/100 | Train Loss: 0.1524 | Val Loss: 0.2063 | LR: 0.000992 | Time: 94.9s
Epoch 16/100 | Train Loss: 0.1547 | Val Loss: 0.2079 | LR: 0.000989 | Time: 98.1s
Epoch 17/100 | Train Loss: 0.1563 | Val Loss: 0.2061 | LR: 0.000985 | Time: 98.6s
Epoch 18/100 | Train Loss: 0.1582 | Val Loss: 0.2101 | LR: 0.000981 | Time: 95.4s
Epoch 19/100 | Train Loss: 0.1605 | Val Loss: 0.2060 | LR: 0.000976 | Time: 93.2s
Epoch 20/100 | Train Loss: 0.1619 | Val Loss: 0.2095 | LR: 0.000970 | Time: 95.7s
Epoch 21/100 | Train Loss: 0.1640 | Val Loss: 0.2105 | LR: 0.000964 | Time: 95.1s
Epoch 22/100 | Train Loss: 0.1660 | Val Loss: 0.2082 | LR: 0.000957 | Time: 95.9s
Epoch 23/100 | Train Loss: 0.1684 | Val Loss: 0.2095 | LR: 0.000949 | Time: 98.2s
Epoch 24/100 | Train Loss: 0.1709 | Val Loss: 0.2121 | LR: 0.000942 | Time: 99.4s
Epoch 25/100 | Train Loss: 0.1730 | Val Loss: 0.2105 | LR: 0.000933 | Time: 95.3s
Epoch 26/100 | Train Loss: 0.1756 | Val Loss: 0.2122 | LR: 0.000924 | Time: 94.6s
Epoch 27/100 | Train Loss: 0.1772 | Val Loss: 0.2137 | LR: 0.000915 | Time: 94.6s
Epoch 28/100 | Train Loss: 0.1789 | Val Loss: 0.2159 | LR: 0.000905 | Time: 98.3s
Epoch 29/100 | Train Loss: 0.1804 | Val Loss: 0.2134 | LR: 0.000894 | Time: 98.2s
Epoch 30/100 | Train Loss: 0.1828 | Val Loss: 0.2142 | LR: 0.000883 | Time: 94.7s
Epoch 31/100 | Train Loss: 0.1840 | Val Loss: 0.2171 | LR: 0.000872 | Time: 94.7s
Epoch 32/100 | Train Loss: 0.1855 | Val Loss: 0.2150 | LR: 0.000860 | Time: 95.0s
Epoch 33/100 | Train Loss: 0.1873 | Val Loss: 0.2144 | LR: 0.000847 | Time: 92.3s
Epoch 34/100 | Train Loss: 0.1883 | Val Loss: 0.2170 | LR: 0.000835 | Time: 92.4s
Epoch 35/100 | Train Loss: 0.1900 | Val Loss: 0.2147 | LR: 0.000822 | Time: 91.5s
Epoch 36/100 | Train Loss: 0.1910 | Val Loss: 0.2147 | LR: 0.000808 | Time: 92.5s
Epoch 37/100 | Train Loss: 0.1923 | Val Loss: 0.2139 | LR: 0.000794 | Time: 93.4s
Epoch 38/100 | Train Loss: 0.1937 | Val Loss: 0.2137 | LR: 0.000780 | Time: 93.7s
Epoch 39/100 | Train Loss: 0.1942 | Val Loss: 0.2144 | LR: 0.000765 | Time: 93.5s
Epoch 40/100 | Train Loss: 0.1963 | Val Loss: 0.2162 | LR: 0.000750 | Time: 95.5s
Epoch 41/100 | Train Loss: 0.1974 | Val Loss: 0.2139 | LR: 0.000735 | Time: 94.6s
Epoch 42/100 | Train Loss: 0.1986 | Val Loss: 0.2125 | LR: 0.000719 | Time: 92.8s
Epoch 43/100 | Train Loss: 0.1997 | Val Loss: 0.2124 | LR: 0.000704 | Time: 94.0s
Epoch 44/100 | Train Loss: 0.1998 | Val Loss: 0.2095 | LR: 0.000688 | Time: 103.2s
