Epoch 1/100 | Train Loss: 0.7079 | Val Loss: 0.2283 | LR: 0.000133 | Time: 132.0s
Epoch 2/100 | Train Loss: 0.4307 | Val Loss: 0.1515 | LR: 0.000200 | Time: 141.6s
Epoch 3/100 | Train Loss: 0.3559 | Val Loss: 0.1415 | LR: 0.000267 | Time: 136.8s
Epoch 4/100 | Train Loss: 0.3115 | Val Loss: 0.1425 | LR: 0.000333 | Time: 137.3s
Epoch 5/100 | Train Loss: 0.2720 | Val Loss: 0.1355 | LR: 0.000400 | Time: 138.0s
Epoch 6/100 | Train Loss: 0.2293 | Val Loss: 0.1272 | LR: 0.000467 | Time: 139.9s
Epoch 7/100 | Train Loss: 0.1946 | Val Loss: 0.1243 | LR: 0.000533 | Time: 137.6s
Epoch 8/100 | Train Loss: 0.1718 | Val Loss: 0.1194 | LR: 0.000600 | Time: 146.3s
Epoch 9/100 | Train Loss: 0.1551 | Val Loss: 0.1217 | LR: 0.000667 | Time: 138.3s
Epoch 10/100 | Train Loss: 0.1435 | Val Loss: 0.1212 | LR: 0.000733 | Time: 135.1s
Epoch 11/100 | Train Loss: 0.1328 | Val Loss: 0.1228 | LR: 0.000800 | Time: 139.9s
Epoch 12/100 | Train Loss: 0.1253 | Val Loss: 0.1234 | LR: 0.000867 | Time: 142.3s
Epoch 13/100 | Train Loss: 0.1192 | Val Loss: 0.1267 | LR: 0.000933 | Time: 129.1s
Epoch 14/100 | Train Loss: 0.1140 | Val Loss: 0.1226 | LR: 0.001000 | Time: 129.6s
Epoch 15/100 | Train Loss: 0.1094 | Val Loss: 0.1218 | LR: 0.001000 | Time: 130.0s
Epoch 16/100 | Train Loss: 0.1053 | Val Loss: 0.1212 | LR: 0.001000 | Time: 127.6s
Epoch 17/100 | Train Loss: 0.1014 | Val Loss: 0.1186 | LR: 0.000999 | Time: 127.2s
Epoch 18/100 | Train Loss: 0.0995 | Val Loss: 0.1200 | LR: 0.000997 | Time: 135.7s
Epoch 19/100 | Train Loss: 0.0970 | Val Loss: 0.1168 | LR: 0.000995 | Time: 128.0s
Epoch 20/100 | Train Loss: 0.0955 | Val Loss: 0.1189 | LR: 0.000991 | Time: 138.1s
Epoch 21/100 | Train Loss: 0.0938 | Val Loss: 0.1139 | LR: 0.000988 | Time: 143.8s
Epoch 22/100 | Train Loss: 0.0927 | Val Loss: 0.1146 | LR: 0.000983 | Time: 131.1s
Epoch 23/100 | Train Loss: 0.0912 | Val Loss: 0.1117 | LR: 0.000978 | Time: 127.7s
Epoch 24/100 | Train Loss: 0.0902 | Val Loss: 0.1102 | LR: 0.000973 | Time: 134.8s
Epoch 25/100 | Train Loss: 0.0891 | Val Loss: 0.1074 | LR: 0.000966 | Time: 134.9s
Epoch 26/100 | Train Loss: 0.0881 | Val Loss: 0.1094 | LR: 0.000959 | Time: 128.1s
Epoch 27/100 | Train Loss: 0.0877 | Val Loss: 0.1092 | LR: 0.000952 | Time: 129.8s
Epoch 28/100 | Train Loss: 0.0875 | Val Loss: 0.1056 | LR: 0.000943 | Time: 126.0s
Epoch 29/100 | Train Loss: 0.0866 | Val Loss: 0.1051 | LR: 0.000935 | Time: 128.5s
Epoch 30/100 | Train Loss: 0.0861 | Val Loss: 0.1022 | LR: 0.000925 | Time: 128.5s
Epoch 31/100 | Train Loss: 0.0847 | Val Loss: 0.1028 | LR: 0.000915 | Time: 128.7s
Epoch 32/100 | Train Loss: 0.0841 | Val Loss: 0.1007 | LR: 0.000905 | Time: 127.9s
Epoch 33/100 | Train Loss: 0.0841 | Val Loss: 0.1003 | LR: 0.000893 | Time: 128.0s
Epoch 34/100 | Train Loss: 0.0840 | Val Loss: 0.0998 | LR: 0.000882 | Time: 127.1s
Epoch 35/100 | Train Loss: 0.0831 | Val Loss: 0.0982 | LR: 0.000870 | Time: 128.6s
Epoch 36/100 | Train Loss: 0.0831 | Val Loss: 0.0969 | LR: 0.000857 | Time: 128.4s
Epoch 37/100 | Train Loss: 0.0825 | Val Loss: 0.0985 | LR: 0.000844 | Time: 127.7s
Epoch 38/100 | Train Loss: 0.0813 | Val Loss: 0.0975 | LR: 0.000830 | Time: 128.5s
Epoch 39/100 | Train Loss: 0.0814 | Val Loss: 0.0946 | LR: 0.000816 | Time: 146.8s
Epoch 40/100 | Train Loss: 0.0804 | Val Loss: 0.0938 | LR: 0.000802 | Time: 138.1s
Epoch 41/100 | Train Loss: 0.0803 | Val Loss: 0.0951 | LR: 0.000787 | Time: 131.7s
Epoch 42/100 | Train Loss: 0.0796 | Val Loss: 0.0928 | LR: 0.000771 | Time: 129.3s
Epoch 43/100 | Train Loss: 0.0794 | Val Loss: 0.0935 | LR: 0.000756 | Time: 128.5s
Epoch 44/100 | Train Loss: 0.0791 | Val Loss: 0.0935 | LR: 0.000740 | Time: 128.6s
Epoch 45/100 | Train Loss: 0.0791 | Val Loss: 0.0934 | LR: 0.000723 | Time: 129.0s
Epoch 46/100 | Train Loss: 0.0785 | Val Loss: 0.0930 | LR: 0.000706 | Time: 128.5s
Epoch 47/100 | Train Loss: 0.0781 | Val Loss: 0.0923 | LR: 0.000690 | Time: 129.7s
Epoch 48/100 | Train Loss: 0.0776 | Val Loss: 0.0929 | LR: 0.000672 | Time: 127.3s
Epoch 49/100 | Train Loss: 0.0773 | Val Loss: 0.0925 | LR: 0.000655 | Time: 128.9s
Epoch 50/100 | Train Loss: 0.0769 | Val Loss: 0.0920 | LR: 0.000637 | Time: 140.4s
Epoch 51/100 | Train Loss: 0.0764 | Val Loss: 0.0910 | LR: 0.000619 | Time: 133.8s
Epoch 52/100 | Train Loss: 0.0765 | Val Loss: 0.0900 | LR: 0.000601 | Time: 140.7s
Epoch 53/100 | Train Loss: 0.0758 | Val Loss: 0.0899 | LR: 0.000583 | Time: 128.1s
Epoch 54/100 | Train Loss: 0.0757 | Val Loss: 0.0890 | LR: 0.000565 | Time: 141.6s
Epoch 55/100 | Train Loss: 0.0756 | Val Loss: 0.0895 | LR: 0.000547 | Time: 131.3s
Epoch 56/100 | Train Loss: 0.0750 | Val Loss: 0.0884 | LR: 0.000528 | Time: 131.2s
Epoch 57/100 | Train Loss: 0.0754 | Val Loss: 0.0878 | LR: 0.000510 | Time: 128.7s
Epoch 58/100 | Train Loss: 0.0750 | Val Loss: 0.0865 | LR: 0.000491 | Time: 127.9s
Epoch 59/100 | Train Loss: 0.0749 | Val Loss: 0.0868 | LR: 0.000473 | Time: 127.5s
Epoch 60/100 | Train Loss: 0.0745 | Val Loss: 0.0856 | LR: 0.000454 | Time: 125.8s
Epoch 61/100 | Train Loss: 0.0747 | Val Loss: 0.0865 | LR: 0.000436 | Time: 127.1s
Epoch 62/100 | Train Loss: 0.0749 | Val Loss: 0.0855 | LR: 0.000418 | Time: 138.7s
Epoch 63/100 | Train Loss: 0.0749 | Val Loss: 0.0849 | LR: 0.000400 | Time: 135.3s
Epoch 64/100 | Train Loss: 0.0750 | Val Loss: 0.0841 | LR: 0.000382 | Time: 133.5s
Epoch 65/100 | Train Loss: 0.0751 | Val Loss: 0.0848 | LR: 0.000364 | Time: 126.5s
Epoch 66/100 | Train Loss: 0.0751 | Val Loss: 0.0846 | LR: 0.000346 | Time: 127.8s
Epoch 67/100 | Train Loss: 0.0751 | Val Loss: 0.0837 | LR: 0.000329 | Time: 126.2s
Epoch 68/100 | Train Loss: 0.0755 | Val Loss: 0.0843 | LR: 0.000311 | Time: 124.8s
Epoch 69/100 | Train Loss: 0.0756 | Val Loss: 0.0836 | LR: 0.000295 | Time: 141.6s
