Epoch 59/100 | Train Loss: 0.0772 | Val Loss: 0.1111 | LR: 0.000394 | Time: 106.8s
Epoch 60/100 | Train Loss: 0.0775 | Val Loss: 0.1116 | LR: 0.000378 | Time: 106.4s
Epoch 61/100 | Train Loss: 0.0774 | Val Loss: 0.1119 | LR: 0.000362 | Time: 108.0s
Epoch 62/100 | Train Loss: 0.0773 | Val Loss: 0.1122 | LR: 0.000346 | Time: 106.7s
Epoch 63/100 | Train Loss: 0.0772 | Val Loss: 0.1106 | LR: 0.000331 | Time: 105.5s
Epoch 64/100 | Train Loss: 0.0772 | Val Loss: 0.1106 | LR: 0.000315 | Time: 106.8s
Epoch 65/100 | Train Loss: 0.0770 | Val Loss: 0.1109 | LR: 0.000300 | Time: 107.1s
Epoch 66/100 | Train Loss: 0.0776 | Val Loss: 0.1110 | LR: 0.000285 | Time: 106.1s
Epoch 67/100 | Train Loss: 0.0777 | Val Loss: 0.1105 | LR: 0.000270 | Time: 105.4s
Epoch 68/100 | Train Loss: 0.0776 | Val Loss: 0.1099 | LR: 0.000256 | Time: 106.3s
Epoch 69/100 | Train Loss: 0.0778 | Val Loss: 0.1096 | LR: 0.000241 | Time: 110.5s
Epoch 70/100 | Train Loss: 0.0776 | Val Loss: 0.1095 | LR: 0.000227 | Time: 107.8s
Epoch 71/100 | Train Loss: 0.0776 | Val Loss: 0.1091 | LR: 0.000214 | Time: 109.2s
Epoch 72/100 | Train Loss: 0.0779 | Val Loss: 0.1099 | LR: 0.000200 | Time: 103.1s
Epoch 73/100 | Train Loss: 0.0780 | Val Loss: 0.1092 | LR: 0.000187 | Time: 103.4s
Epoch 74/100 | Train Loss: 0.0776 | Val Loss: 0.1096 | LR: 0.000175 | Time: 106.8s
Epoch 75/100 | Train Loss: 0.0781 | Val Loss: 0.1093 | LR: 0.000162 | Time: 106.1s
Epoch 76/100 | Train Loss: 0.0780 | Val Loss: 0.1093 | LR: 0.000150 | Time: 105.8s
Epoch 77/100 | Train Loss: 0.0779 | Val Loss: 0.1081 | LR: 0.000139 | Time: 198.2s
Epoch 78/100 | Train Loss: 0.0778 | Val Loss: 0.1089 | LR: 0.000127 | Time: 103.2s
Epoch 79/100 | Train Loss: 0.0780 | Val Loss: 0.1083 | LR: 0.000117 | Time: 105.4s
Epoch 80/100 | Train Loss: 0.0780 | Val Loss: 0.1086 | LR: 0.000106 | Time: 107.0s
Epoch 81/100 | Train Loss: 0.0782 | Val Loss: 0.1092 | LR: 0.000096 | Time: 103.1s
Epoch 82/100 | Train Loss: 0.0780 | Val Loss: 0.1087 | LR: 0.000087 | Time: 105.0s
Epoch 83/100 | Train Loss: 0.0778 | Val Loss: 0.1082 | LR: 0.000078 | Time: 107.7s
Epoch 84/100 | Train Loss: 0.0778 | Val Loss: 0.1079 | LR: 0.000069 | Time: 101.2s
Epoch 85/100 | Train Loss: 0.0780 | Val Loss: 0.1082 | LR: 0.000061 | Time: 105.0s
Epoch 86/100 | Train Loss: 0.0785 | Val Loss: 0.1084 | LR: 0.000054 | Time: 1021.5s
Epoch 87/100 | Train Loss: 0.0779 | Val Loss: 0.1082 | LR: 0.000046 | Time: 107.1s
Epoch 88/100 | Train Loss: 0.0781 | Val Loss: 0.1075 | LR: 0.000040 | Time: 109.8s
Epoch 89/100 | Train Loss: 0.0778 | Val Loss: 0.1079 | LR: 0.000034 | Time: 110.7s
Epoch 90/100 | Train Loss: 0.0781 | Val Loss: 0.1071 | LR: 0.000028 | Time: 105.0s
Epoch 91/100 | Train Loss: 0.0784 | Val Loss: 0.1073 | LR: 0.000023 | Time: 107.2s
Epoch 92/100 | Train Loss: 0.0784 | Val Loss: 0.1072 | LR: 0.000018 | Time: 113.0s
Epoch 93/100 | Train Loss: 0.0783 | Val Loss: 0.1075 | LR: 0.000014 | Time: 107.8s
Epoch 94/100 | Train Loss: 0.0784 | Val Loss: 0.1067 | LR: 0.000011 | Time: 107.5s
Epoch 95/100 | Train Loss: 0.0783 | Val Loss: 0.1075 | LR: 0.000008 | Time: 109.3s
Epoch 96/100 | Train Loss: 0.0790 | Val Loss: 0.1075 | LR: 0.000005 | Time: 104.6s
Epoch 97/100 | Train Loss: 0.0790 | Val Loss: 0.1078 | LR: 0.000003 | Time: 103.8s
Epoch 98/100 | Train Loss: 0.0788 | Val Loss: 0.1075 | LR: 0.000002 | Time: 103.9s
Epoch 99/100 | Train Loss: 0.0790 | Val Loss: 0.1077 | LR: 0.000001 | Time: 111.9s
Epoch 100/100 | Train Loss: 0.0794 | Val Loss: 0.1081 | LR: 0.000001 | Time: 108.4s
